,match_id,# of Top Lane KP (Early),# of Mid Lane KP (Early),# of Bot Lane KP (Early),Win
0,5018321208,1,1,3,True
1,5017968440,0,1,2,True
2,5017930600,2,1,1,False
3,5015174141,1,1,0,False
4,5015146936,1,0,1,True
5,5015114332,2,0,1,True
6,5012390870,0,0,5,False
7,5012151644,2,0,0,False
8,5012069415,2,2,3,True
9,5011813328,0,1,0,False
10,5011438977,0,1,2,True
11,5011417873,1,2,2,False
12,5011008422,0,1,4,False
13,5010971272,0,0,1,False
14,5010906453,2,0,0,False
15,5007910669,1,1,2,False
16,5007893111,1,1,5,False
17,5007863541,3,2,1,True
18,5007859465,0,0,0,False
19,5007462158,3,2,0,True
20,5006089120,0,1,1,True
21,5006057104,1,0,1,False
22,5006023770,1,1,3,True
23,5004450040,1,1,2,False
24,5004315701,2,1,1,True
25,5004275449,1,1,2,False
26,5004261489,1,1,3,False
27,5004236349,2,0,2,True
28,5004206429,1,2,0,True
29,5003911852,3,0,1,True
30,5002282221,0,0,1,True
31,5002261410,0,2,1,True
32,5002225527,1,1,1,False
33,5001554502,0,1,2,False
34,5001533018,0,1,0,False
35,5001489490,0,3,1,True
36,5000915300,1,1,0,True
37,4998618591,1,3,0,True
38,4998533397,1,0,2,False
39,4998383656,1,0,1,False
40,4998333936,1,1,2,True
41,4998314225,1,1,0,False
42,4997962436,1,1,3,True
43,4996626362,1,2,1,True
44,4994951379,0,0,3,True
45,4994648545,1,1,2,True
46,4993926785,3,1,7,True
47,4993217082,1,3,1,True
48,4991145451,1,1,4,True
49,4990241705,3,2,0,True
50,4989533015,1,1,3,True
51,4989346357,5,0,1,True
52,4988808847,2,1,5,True
53,4988152764,0,1,0,False
54,4988127011,1,0,4,True
55,4988106822,0,1,0,True
56,4988064396,0,1,2,True
57,4986442050,1,0,1,False
58,4985906347,0,2,2,True
59,4985501361,1,1,1,False
60,4985477040,1,0,2,False
61,4985439508,0,0,2,False
62,4985413394,1,1,1,True
63,4985151158,1,1,1,False
64,4984532724,0,2,2,True
65,4984520812,1,1,1,True
66,4983637960,0,0,2,True
67,4983574561,0,1,2,True
68,4983538522,2,1,1,True
69,4983430701,0,1,0,False
70,4982761000,4,1,4,True
71,4982730466,0,1,1,True
72,4982705844,1,1,1,False
73,4982680864,0,1,2,True
74,4980264864,1,1,0,False
75,4979346978,0,0,2,False
76,4979321098,1,0,0,False
77,4979284606,3,0,0,False
78,4979096397,0,0,1,True
79,4979061575,1,0,3,False
80,4978470521,0,0,0,False
81,4978240965,3,0,1,True
82,4978211896,2,1,0,True
83,4978175023,0,0,1,True
84,4978121593,0,0,3,True
85,4976719001,0,0,3,True
86,4976699101,0,2,2,False
87,4976675656,0,1,1,False
88,4976671792,1,1,2,True
89,4973381605,2,0,4,True
90,4973352499,1,1,0,False
91,4973326770,2,0,1,False
92,4973315824,2,0,0,True
93,4973271519,0,0,1,False
94,4971660972,0,1,1,True
95,4971614654,2,0,2,True
96,4971585894,0,0,2,True
97,4971538523,1,1,0,False
98,4971491176,0,0,2,False
99,4970866866,2,0,0,True
100,4970803044,1,0,3,True
101,4970553199,1,2,2,True
102,4968314208,0,0,0,False
103,4968286760,0,0,2,False
104,4967574219,1,0,2,False
105,4967527585,1,0,3,True
106,4967495818,1,0,2,False
107,4967450900,2,1,6,True
108,4966666607,1,0,0,False
109,4966622187,1,2,1,True
110,4966583171,2,0,2,True
111,4966546116,1,1,0,False
112,4966504973,0,1,0,False
113,4966467931,1,1,1,False
114,4965807814,1,1,1,True
115,4965770199,0,0,4,True
116,4965725670,2,1,0,False
117,4965693815,1,0,4,True
118,4964977587,0,0,0,True
119,4964946520,0,0,2,False
120,4964881206,0,1,3,True
121,4963705454,3,0,1,True
122,4963639889,1,0,1,True
123,4962468113,1,0,1,True
124,4962315762,0,1,3,True
125,4960664717,1,1,2,False
126,4959638056,0,1,1,False
127,4959615227,0,2,1,False
128,4958711155,1,1,3,True
129,4958676938,0,0,1,True
130,4958646979,0,0,1,True
131,4958531824,1,0,1,True
132,4958485469,0,0,0,False
133,4958449165,0,0,2,False
134,4958413681,1,0,2,False
135,4958345227,0,1,2,False
136,4956963768,2,1,2,True
137,4956935493,0,0,2,False
138,4956916072,0,1,0,False
139,4956877190,0,0,2,True
140,4956837096,2,0,1,False
141,4956794609,2,0,1,True
142,4956763400,4,0,1,True
143,4956718637,1,0,1,False
144,4956416776,0,0,4,False
145,4956389191,0,1,3,True
146,4956366501,1,0,2,True
147,4956003003,1,1,3,True
148,4955971086,1,1,2,True
149,4955953179,1,0,3,True
150,4955913697,0,0,0,True
151,4955881769,1,1,2,True
152,4955089575,1,1,2,True
153,4955085954,2,0,1,True
154,4955066487,0,1,2,True
155,4955039539,0,1,3,True
156,4954670507,0,0,3,False
157,4953916212,0,1,2,False
158,4953840804,1,0,0,True
159,4953609642,3,0,2,True
160,4952996518,0,1,2,True
161,4952972940,0,0,4,False
162,4952539716,2,1,1,False
163,4952165044,1,0,2,True
164,4952128583,2,0,0,False
165,4952104446,1,0,1,False
166,4952080736,1,0,1,True
167,4952052618,1,0,1,True
168,4951993760,3,0,5,True
169,4951957366,0,0,1,False
170,4951251847,2,1,0,True
171,4951234039,1,0,4,True
172,4951172707,1,0,0,True
173,4949630885,1,1,2,True
174,4949536938,0,0,3,True
175,4949376023,1,2,1,True
176,4949356591,1,1,5,False
177,4948109857,0,1,3,False
178,4948074720,3,1,1,False
179,4948050561,1,1,3,True
180,4948029808,1,1,2,True
181,4943581625,1,1,1,True
182,4943561587,1,0,4,False
183,4943530353,1,0,3,True
184,4943470514,2,2,4,False
185,4943089589,0,2,1,True
186,4943036455,1,1,0,True
187,4943015327,1,1,1,True
188,4942995452,2,3,2,True
189,4942971720,2,0,1,False
190,4941830550,3,1,0,True
191,4941786240,1,0,2,True
192,4941770122,2,0,2,True
193,4941587275,0,2,1,False
194,4941485875,3,0,3,True
195,4941462944,0,0,0,True
196,4941438564,1,0,3,True
197,4941425700,1,2,0,True
198,4941304143,0,2,0,True
199,4941270646,0,2,2,True
200,4940714289,0,0,1,True
201,4940280104,1,1,1,True
202,4940263132,1,1,0,True
203,4939414203,2,2,0,True
204,4939374101,0,0,2,False
205,4937581014,0,2,2,False
206,4936886249,1,0,5,True
207,4936461329,3,1,1,False
208,4936435833,1,0,1,False
209,4935712976,0,1,2,False
210,4935695852,0,4,0,False
211,4935305708,0,0,4,False
212,4935286959,1,1,2,True
213,4935254556,0,0,1,False
214,4935183711,0,0,2,True
215,4934949597,0,2,2,True
216,4934411357,0,0,1,True
217,4934340495,0,2,1,False
218,4934193710,0,0,3,False
219,4934170070,1,1,0,True
220,4933728018,0,0,3,True
221,4933632181,2,3,0,True
222,4933604384,0,0,0,False
223,4933572496,1,0,4,True
224,4932038119,1,0,3,True
225,4932025355,2,0,3,True
