,match_id,cs_diff_5,cs_diff_10,cs_diff_15,gold_diff_5,gold_diff_10,gold_diff_15,xp_diff_5,xp_diff_10,xp_diff_15,win
0,7222279494,2,4,28,625,1024,2545,21,-6,723,True
1,7189084493,-9,-1,2,-414,-183,1063,-222,-164,582,False
2,7188168260,0,0,-17,-82,-737,-1496,60,-498,-1375,True
3,7175089421,12,19,6,-43,574,673,-75,263,-192,False
4,7157342222,6,13,7,45,582,-1162,110,196,-131,True
5,7150868074,-3,3,-10,690,680,1564,-14,287,191,True
6,7149564439,7,16,27,691,831,1184,73,387,846,True
7,7148956423,-2,-5,-10,588,190,141,-25,-474,-1154,True
8,7148029858,-2,-1,15,-21,134,941,39,-257,68,True
9,7147705252,5,19,24,823,1711,3020,164,759,1069,True
10,7134064930,2,2,10,-14,102,509,271,471,951,False
11,7128680593,-1,0,-1,131,116,-43,-31,-433,-250,False
12,7107837390,-8,-10,5,-805,-393,-835,-180,-81,481,False
13,7107758892,1,5,-22,3,-548,-1366,121,490,-266,True
14,7106852979,10,6,20,630,361,1874,-49,11,626,True
15,7106724282,1,-2,-4,-302,-491,-762,-57,-347,-776,False
16,7105741208,-5,-11,-4,-220,-681,-995,-324,-633,424,False
17,7105081802,-2,1,11,-29,238,901,-248,-205,140,True
18,7105046715,-5,6,18,-975,-1026,-859,-165,51,525,True
19,7103317984,-4,-10,-14,37,-91,-131,93,26,377,True
20,7103281575,-6,9,12,676,1985,4091,-241,1145,551,True
21,7103196092,3,-2,6,36,-675,420,181,-206,851,True
22,7102819754,11,20,35,1051,1686,3133,451,1106,2323,True
23,7102750095,2,11,-8,79,825,-473,69,76,-574,False
24,7102689393,2,10,29,626,899,2966,193,588,1688,True
25,7101134388,2,-4,-6,-372,-398,471,193,72,-422,True
26,7100754812,4,28,26,553,1149,1267,143,1299,1837,False
27,7100421876,9,8,12,693,-155,1403,238,-90,226,True
28,7098899882,7,6,9,74,513,87,203,285,992,False
29,7098716710,14,15,8,1005,656,739,312,208,492,True
30,7098614685,13,24,38,-99,374,167,270,638,1164,True
31,7097649385,-6,0,-3,-152,-318,-554,-93,-243,-206,False
32,7097610244,0,-12,6,-7,-1210,-25,29,-718,684,False
33,7096758365,-4,-10,10,-47,859,2586,-64,28,1228,True
34,7096571339,4,-6,3,-33,-79,-160,126,14,-173,False
35,7087990932,-3,-11,-20,36,-1204,-1425,-29,-187,-1027,True
36,7087819222,0,-21,-18,-55,-174,729,72,-151,380,True
37,7087147267,-11,-20,-26,-429,-1491,-1533,-309,-703,-618,True
38,7086955879,3,3,24,-24,308,367,-207,-802,-96,False
39,7086917517,-4,3,8,1277,968,2979,15,-93,1010,True
40,7086891860,7,18,17,426,1814,2907,278,550,372,True
41,7084913882,-3,4,7,-28,800,781,-60,178,60,True
42,7082070916,-5,-24,-13,362,459,-378,-12,-937,-421,True
43,7082024478,-7,-14,-37,-67,-681,-2105,-78,-440,-1439,True
44,7081654306,-2,1,25,308,275,2366,-22,-188,1422,True
45,7081590297,-7,0,6,168,95,795,-233,161,502,True
46,7081332002,9,0,12,-98,117,349,330,331,601,True
47,7081307457,2,23,43,92,520,3332,-188,541,1608,True
48,7081250982,-10,-22,-34,-295,-582,-2638,-329,-618,-1301,False
